trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
438,False,"{'a': 0.30100000000000005, 'e': 0.26874293184439435}",20,14,-1.4469092657687699,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
439,False,"{'a': 0.3005, 'e': 0.26793791118361776}",30,17,7.695459047197663,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
440,False,"{'a': 0.30000000000000004, 'e': 0.26713530196585034}",20,0,18.900782490194135,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
441,False,"{'a': 0.2995, 'e': 0.2663350969676039}",20,4,-13.822541128842666,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
442,False,"{'a': 0.29900000000000004, 'e': 0.2655372889870278}",25,8,-40.33504929509076,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
443,False,"{'a': 0.2985, 'e': 0.26474187084384504}",20,14,11.658175662882485,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.29800000000000004, 'e': 0.2639488353792868}",20,0,-29.822379965063632,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
445,False,"{'a': 0.2975, 'e': 0.2631581754560287}",25,14,-23.954151164029472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
446,False,"{'a': 0.29700000000000004, 'e': 0.262369883958126}",20,0,12.154545899095929,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
447,False,"{'a': 0.2965, 'e': 0.26158395379094995}",30,15,26.166340297963966,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.29600000000000004, 'e': 0.26080037788112365}",25,13,22.668417905620434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.2955, 'e': 0.26001914917645874}",20,0,5.90072549604905,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
450,False,"{'a': 0.29500000000000004, 'e': 0.2592402606458915}",25,8,15.936393690539585,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
451,False,"{'a': 0.2945, 'e': 0.25846370527942}",25,0,22.389647850405144,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
452,False,"{'a': 0.29400000000000004, 'e': 0.25768947608804055}",20,10,-21.595758448133125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
453,False,"{'a': 0.2935, 'e': 0.25691756610368544}",20,15,-1.6698440346703958,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
454,False,"{'a': 0.29300000000000004, 'e': 0.2561479683791593}",25,9,-8.467803162163737,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
455,False,"{'a': 0.2925, 'e': 0.2553806759880777}",35,2,-2.2618822961922587,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 0}",1
456,False,"{'a': 0.29200000000000004, 'e': 0.2546156820248037}",25,0,-43.401640125546145,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
457,False,"{'a': 0.2915, 'e': 0.2538529796043867}",20,0,-74.8065028316031,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
458,False,"{'a': 0.29100000000000004, 'e': 0.25309256186249957}",30,4,2.1834851778483997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
459,False,"{'a': 0.2905, 'e': 0.25233442195537764}",25,5,-23.460891740170688,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
460,False,"{'a': 0.29000000000000004, 'e': 0.25157855305975646}",25,7,14.357515488210446,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
461,False,"{'a': 0.2895, 'e': 0.2508249483728111}",25,4,21.720986758058395,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.28900000000000003, 'e': 0.2500736011120941}",25,10,-5.583206781832058,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
463,False,"{'a': 0.2885, 'e': 0.2493245045154751}",20,0,-92.43416208007989,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
464,False,"{'a': 0.28800000000000003, 'e': 0.24857765184107966}",25,18,10.427178020192539,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.2875, 'e': 0.24783303636722875}",20,0,-26.970716609503818,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
466,False,"{'a': 0.28700000000000003, 'e': 0.24709065139237796}",20,0,-11.846298426811815,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
467,False,"{'a': 0.2865, 'e': 0.24635049023505762}",20,16,8.207805440142247,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.28600000000000003, 'e': 0.2456125462338122}",30,18,21.964881483586023,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.2855, 'e': 0.24487681274714082}",30,20,17.768517722355735,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.28500000000000003, 'e': 0.2441432831534371}",20,0,-14.29936265217126,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
471,False,"{'a': 0.2845, 'e': 0.24341195085092968}",30,2,1.8034886263290033,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
472,False,"{'a': 0.28400000000000003, 'e': 0.24268280925762298}",20,10,17.381477286717644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.2835, 'e': 0.24195585181123766}",20,8,11.690567059964964,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
474,False,"{'a': 0.28300000000000003, 'e': 0.24123107196915192}",20,8,8.067751923372153,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
475,False,"{'a': 0.2825, 'e': 0.24050846320834213}",25,1,2.2292978850744944,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
